created_at,favorited,in_reply_to_screen_name,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Wed Aug 10 22:12:36 +0000 2011","False",,"http://twitter.com/GonzaloLarenas/status/101415676782186496","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @damarivergara: @GonzaloLarenas se me ocurre #LatinoaméricaPorLaEducación ... o muy largo :P /un poco largo jeje","Licenciado en Literatura, Gestor Cultural, Profesor Universitario, Columnista, Director de Teatro, Chileno, sobre todo Latinoamericano.  ","Viña del Mar","Wed Apr 01 17:52:09 +0000 2009","3121","Gonzalo Larenas ","GonzaloLarenas","Santiago"
"Thu Aug 11 02:38:19 +0000 2011","False",,"http://twitter.com/Antuanca/status/101482547002884096","web","#Latinoamericaporlaeducacion","","Latinoamerica","Wed Apr 02 00:16:49 +0000 2008","68","Iván","Antuanca","Santiago"
"Sun Nov 13 21:40:23 +0000 2011","False","Wally_Social","http://twitter.com/felipexx_1994/status/135834419524153346","web","@Wally_Social Aquí!!! Yo los RT !!! #LatinoaméricaPorLaEducación","No Music, No Life: ♫ ♪U2, Nirvana, Oasis, MUSE, Metallica♫ ♫ ♪♥ Rock/Metal Fan !!!","Chile: Teno, Curicó","Wed Nov 24 01:14:08 +0000 2010","283","Esteban","felipexx_1994"
"Sun Nov 13 21:45:03 +0000 2011","False",,"http://twitter.com/Wally_Social/status/135835592926834688","web","RT @felipexx_1994: @Wally_Social Aquí!!! Yo los RT !!! #LatinoaméricaPorLaEducación","Por COLOMBIA Honesta y Por CHILE Con Educación Pública gratuita y de calidad. JUNTOS PODEMOS ","Colombia","Thu Jun 09 02:11:31 +0000 2011","1224","Wally Chile","Wally_Social","Bogota"
"Mon Nov 14 01:53:42 +0000 2011","False",,"http://twitter.com/jesspardo17/status/135898166603161600","web","#LatinoamericaPorLaEducación!!! estaré caminando el 24 de Noviembre!! No importa las condiciones climáticas o la longitud del trayecto!","Simplemente viviendo... Simplemente soñando y Simplemente sintiendo.. ","","Mon Jan 17 21:19:09 +0000 2011","41","jessica pardo","jesspardo17"
"Mon Nov 14 01:53:56 +0000 2011","False",,"http://twitter.com/car_jimenez/status/135898224962707456","web","RT @jesspardo17: #LatinoamericaPorLaEducación!!! estaré caminando el 24 de Noviembre!! No importa las condiciones climáticas o la longit ...","Virtual insanity is what we're living in -Ing.Quimica UA- Wherever you are I'll be always with you, no matter where your soul is you'll be always with me :)","","Sun Aug 22 05:48:12 +0000 2010","34","Carlos Jiménez","car_jimenez","Bogota"
"Mon Nov 14 17:10:08 +0000 2011","False",,"http://twitter.com/Feliperespira/status/136128796695871489","web","Protesta Estudiantil En Colombia http://t.co/CwZLz1Fp  #mane #LatinoamericaPorLaEducación","La vida es un lienzo que me impulsa a la Fotografía.Las letras un pincel de posibilidades para un soñador anhelante. ","","Thu Apr 28 20:04:59 +0000 2011","67","Felipe Rodríguez","Feliperespira","Bogota"
"Mon Nov 14 19:06:56 +0000 2011","False","Calle13Oficial","http://twitter.com/Feliperespira/status/136158188457295872","web","@Calle13Oficial Protesta Estudiantil En Colombia http://t.co/CwZLz1Fp  #LatinoamericaPorLaEducación","La vida es un lienzo que me impulsa a la Fotografía.Las letras un pincel de posibilidades para un soñador anhelante. ","","Thu Apr 28 20:04:59 +0000 2011","68","Felipe Rodríguez","Feliperespira","Bogota"
"Sun Nov 20 02:43:45 +0000 2011","False",,"http://twitter.com/elpayanes/status/138085087974658048","web","#LatinoAmericaporlaEducacion http://t.co/nGgyFGAH","☺☺Soy sincero, de muy buenos sentimientos, sencillo, buen amigo. Un soñador, libre pensador, HUMANISTA, creo en la revolucion de las ideas, en la revolucion de","Popayàn - Cauca - Colombia - S","Wed Jun 30 23:53:51 +0000 2010","601","EDISON  BURBANO ","elpayanes","Central Time (US & Canada)"
"Mon Nov 21 15:51:17 +0000 2011","False",,"http://twitter.com/M_g3nt_/status/138645666439241729","web","salgamos a marchar el jueves 24 #latinoamericaporlaeducacion","Respiro para impregnarme de mundo y que el mundo se impregne de mi, soy caminante de la vida y amante de ella, siempre de pie aún después de mil caídas. ","Colombia","Fri Feb 05 05:17:18 +0000 2010","253","Nayibe","M_g3nt_","Bogota"
"Mon Nov 21 15:56:37 +0000 2011","False",,"http://twitter.com/M_g3nt_/status/138647007723126786","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Este 24 de Noviembre,  Latinoamérica Unida por el Derecho a la Educación #latinoamericaporlaeducacion http://t.co/PglbNvRR vía","Respiro para impregnarme de mundo y que el mundo se impregne de mi, soy caminante de la vida y amante de ella, siempre de pie aún después de mil caídas. ","Colombia","Fri Feb 05 05:17:18 +0000 2010","253","Nayibe","M_g3nt_","Bogota"
"Tue Nov 22 17:55:55 +0000 2011","False",,"http://twitter.com/beltranomar/status/139039418207055872","web","si le das mas poder al poder mas duro te van a venir a joder #latinoamericaporlaeducacion","UFPS Amando la musica escuchando consejos y rompiendo via siempre ser nosotros mismo ","Cucuta, Colombia","Mon Apr 11 15:40:29 +0000 2011","106","Omar Beltran","beltranomar"
"Wed Nov 23 23:19:39 +0000 2011","False",,"http://twitter.com/OCEcolombia/status/139483277764460544","web","#LatinoAmericaPorlaEducacion es la etiqueta para difundir e informar sobre la jornada continental de mañana 24 de nov todos a informar","Perfil oficial de la Organizacion Colombiana de Estudiantes,corriente estudiantil que trabaja por una #Educacion nacional, cientifica y #Democratica","Bogota","Sun Jan 23 21:41:18 +0000 2011","1618","OCECOLOMBIA.COM","OCEcolombia","Central Time (US & Canada)"
"Wed Nov 23 23:20:18 +0000 2011","False",,"http://twitter.com/yoligrilla/status/139483443015852032","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @OCEcolombia: #LatinoAmericaPorlaEducacion es la etiqueta para difundir e informar sobre la jornada continental de mañana 24 de nov t ...","Humana conspirando a cada minuto por un mundo mejor. Los moralistas son como agua bendita sobre mi piel, y a nadie le gusta quemarse. Mis letras son suyas.","","Fri Feb 26 22:58:41 +0000 2010","1606","yoligrilla","yoligrilla","Bogota"
"Wed Nov 23 23:20:52 +0000 2011","False",,"http://twitter.com/HNandoGB/status/139483581742448641","web","#LatinoAmericaPorlaEducacion @difamadores En Chile ya están listos para marchar mañana?","Estudiante de Ing.U.D. Lee, crea y forja lo que quieres para tu futuro. Hincha a rabiar de Millonarios FC. #VamosMillosPorLa14  ","Bogotá","Wed May 11 02:03:42 +0000 2011","24","Hernando Gómez ","HNandoGB","Central Time (US & Canada)"
"Wed Nov 23 23:21:10 +0000 2011","False",,"http://twitter.com/MariaRodrigz/status/139483657386737665","web","RT @OCEcolombia: #LatinoAmericaPorlaEducacion es la etiqueta para difundir e informar sobre la jornada continental de mañana 24 de nov t ...","Es mas facil hablar de lo que no nos gusta que lo que nos gusta.","Colombia","Fri Sep 25 22:04:23 +0000 2009","96","Maria Rodriguez","MariaRodrigz","Bogota"
